study_accession,sample_accession,country,material,biome,feature,experiment_accession,run_accession,tax_id,scientific_name,instrument_platform,library_layout,library_source,library_selection,read_count,center_name,first_public,study_title,fastq_ftp,fastq_galaxy,submitted_ftp,sra_bytes,sra_ftp,sample_alias,sample_title
PRJEB28482,SAMEA4883624,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789929,ERR2777852,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,278726,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777852/ERR2777852.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/002/ERR2777852/ERR2777852.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777852/315704.050.upload.fastq.trim.gz,28948860,ftp.sra.ebi.ac.uk/vol1/err/ERR277/002/ERR2777852,mgs634971,761C_30.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883625,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789930,ERR2777853,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,323706,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777853/ERR2777853.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/003/ERR2777853/ERR2777853.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777853/303715.050.upload.fastq.trim.gz,33153163,ftp.sra.ebi.ac.uk/vol1/err/ERR277/003/ERR2777853,mgs566781,717R_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883626,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789931,ERR2777854,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,245377,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777854/ERR2777854.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/004/ERR2777854/ERR2777854.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777854/303173.050.upload.fastq.trim.gz,15919655,ftp.sra.ebi.ac.uk/vol1/err/ERR277/004/ERR2777854,mgs565867,28.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883627,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789932,ERR2777855,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,224039,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777855/ERR2777855.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/005/ERR2777855/ERR2777855.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777855/319425.050.upload.fastq.trim.gz,21451143,ftp.sra.ebi.ac.uk/vol1/err/ERR277/005/ERR2777855,mgs590418,849C_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883628,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789933,ERR2777856,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,336837,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777856/ERR2777856.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/006/ERR2777856/ERR2777856.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777856/319434.050.upload.fastq.trim.gz,35419489,ftp.sra.ebi.ac.uk/vol1/err/ERR277/006/ERR2777856,mgs590436,802R_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883629,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789934,ERR2777857,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,259072,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777857/ERR2777857.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/007/ERR2777857/ERR2777857.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777857/302080.050.upload.fastq.trim.gz,27871722,ftp.sra.ebi.ac.uk/vol1/err/ERR277/007/ERR2777857,mgs682194,772C_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883630,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789935,ERR2777858,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,311592,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777858/ERR2777858.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/008/ERR2777858/ERR2777858.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777858/319433.050.upload.fastq.trim.gz,34054120,ftp.sra.ebi.ac.uk/vol1/err/ERR277/008/ERR2777858,mgs590433,802R_10.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883631,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789936,ERR2777859,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,1004876,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777859/ERR2777859.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/009/ERR2777859/ERR2777859.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777859/303713.050.upload.fastq.trim.gz,62442915,ftp.sra.ebi.ac.uk/vol1/err/ERR277/009/ERR2777859,mgs566778,717C_0.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883632,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789937,ERR2777860,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,641072,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777860/ERR2777860.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/000/ERR2777860/ERR2777860.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777860/319701.050.upload.fastq.trim.gz,66977242,ftp.sra.ebi.ac.uk/vol1/err/ERR277/000/ERR2777860,mgs591135,734R_20.fastq Taxonomy ID:256318
PRJEB28482,SAMEA4883633,Kenya,rumen liquor,Anatomical entity enviroment,Material anatomical entity,ERX2789938,ERR2777861,256318,metagenome,ILLUMINA,SINGLE,METAGENOMIC,RANDOM,780808,University of Nairobi,2018-10-11,Metagenomic characterization of dietary changes effects on the gut microbiome in smallholder dairy cattle,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777861/ERR2777861.fastq.gz,ftp.sra.ebi.ac.uk/vol1/fastq/ERR277/001/ERR2777861/ERR2777861.fastq.gz,ftp.sra.ebi.ac.uk/vol1/run/ERR277/ERR2777861/319817.050.upload.fastq.trim.gz,48259114,ftp.sra.ebi.ac.uk/vol1/err/ERR277/001/ERR2777861,mgs591570,734C_0.fastq Taxonomy ID:256318
